LISTING_NAME,AIR_CONFIRMATION_ID,HOST_NAME,GUEST_NAME,GUEST_ADULT_NO,GUEST_CHILDREN_NO,GUEST_INFANT_NO,REASON_TO_VISIT,START_DATE,END_DATE,HOST_LOCATION_ID
The Nimbus,046RdhRx-yIMR6Wd,Daniel,Ernest Lewis,4,0,0,Health/Medical tourism,2017-07-19,2017-07-21,AIR-9E4GKHX9
Weaver's Cottage Gateway,14AvGJFO-liOXtGX,Joshua,Joaquín Cavazos,4,0,0,Sports Tourism,2017-07-28,2017-08-02,AIR-WLL9PBPO
Cityden Up,2XXd9dGJ-cgEoyjt,Sharon,Robert Mitchell,1,1,0,Religious Tourism,2018-08-19,2018-08-22,AIR-3Q116AAP
Hillcrest Bali,3FmV1yDU-dCkSv0Q,Caitlin,Darlene Johnson,1,1,1,Family Tourism,2019-04-12,2019-04-16,AIR-JYCBUDKW
Shinjuku House,3p7vr8Po-nDzXdYe,Robert,Nicole Soto,1,0,1,Other,2019-05-04,2019-05-08,AIR-BW35LC9Z
Quetzal Room,5CArc6oj-ZFRTh2I,Shannon,Rachel Johnson,12,0,2,Other,2019-10-04,2019-10-06,AIR-7O1WOD6J
South Kensington Apartment,79Bco5cA-pF70GlT,Benjamin,Danielle Forbes,4,0,0,Business or work,2018-06-24,2018-06-26,AIR-B0MS88XS
The Art House,7bYojsoF-mIJBFgL,David,Frank Jones,7,1,1,Leisure,2017-07-05,2017-07-07,AIR-BZMYJ6KP
Kralingen Apartment,7IuVkqKC-9i0KswR,Sharon,Janet Fowler,2,1,0,Ecotourism,2017-06-12,2017-06-17,AIR-XX3A987P
Collins' Studio,7m4Or1zF-NPIWSld,Mark,Kelsey Green,1,0,0,Education Tourism,2016-01-17,2016-01-19,AIR-8P9LUR1X
Waikiki House,8NyAfaCb-KV3rYf4,Joseph,Jesús Guevara,2,2,1,Leisure,2019-04-22,2019-04-28,AIR-75APAANM
San Diego's Hideaway,9n1fxwey-uskopyz,Tiffany,Andrew Rodriguez,3,0,0,Leisure,2019-04-11,2019-04-14,AIR-NO3INSF8
Orczy Forum Apartment,b4oCBWZp-ufmAbtx,William,Robin Wells,4,3,0,Education Tourism,2019-12-14,2019-12-20,AIR-OPYNSKLW
Back Bay Studio,b7PapfSE-Eq2e4QX,Sherry,Cynthia Sampson,2,0,0,Leisure,2016-06-11,2016-06-15,AIR-VET9D87Y
South Kensington Apartment,bBPPAk0X-WIh15jz,Benjamin,Daniel Russell,3,1,0,Sports Tourism,2016-11-22,2016-11-25,AIR-B0MS88XS
The Five Points Pad,BqKpSDVE-m7s2WCV,Donald,Heather Alvarez,1,0,0,Personal,2018-05-26,2018-05-27,AIR-OZVSFUVX
The Nimbus,bri4a0j4-YXIR3mY,Daniel,Emily Brown,3,1,0,Education Tourism,2018-09-29,2018-10-02,AIR-9E4GKHX9
Hillcrest Bali,cGs1J0JW-AVM0rlW,Caitlin,Eloy Rivera,1,0,0,Ecotourism,2018-09-14,2018-09-17,AIR-JYCBUDKW
Kreuzberg Apartment,cz7upbZQ-j0GYH8Z,Michael,Mary Pitts,7,0,0,Sports Tourism,2017-04-08,2017-04-11,AIR-XG51NYNL
Collins' Studio,d60sFwL6-5sl70St,Mark,Lourdes García,2,0,0,Religious Tourism,2019-11-21,2019-11-24,AIR-8P9LUR1X
Hillcrest Bali,dYAcRDbP-3rPkiTM,Caitlin,David Nelson,2,0,0,Family Tourism,2017-05-31,2017-06-02,AIR-JYCBUDKW
Cityden Up,F6QJERzr-ygjcxSU,Sharon,Robert Garcia,2,0,0,Business or work,2017-03-15,2017-03-20,AIR-3Q116AAP
Departamento Santa Lucía,F8rTTSzt-4Uf62bi,Yolanda,Julie Palmer,7,0,0,Business or work,2018-12-16,2018-12-20,AIR-D65JXY94
San Diego's Hideaway,FJwCetUl-CztlTNx,Tiffany,Meghan Lam,4,0,0,Sports Tourism,2018-08-15,2018-08-19,AIR-NO3INSF8
