HOST_ID,HOST_FIRST_NAME,HOST_LAST_NAME,HOST_NAME,LISTING_NAME,LISTING_TYPE,HOST_LOCATION_ID,ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY
HST-TZAZDYK,Amy,Sanchez,Amy Sanchez,La Salentina,ENTIRE_PLACE,AIR-9ELE82U6,"Av. Ruiz 113, Zona Centro, 22800 Ensenada, B.C.",ENSENADA,Baja California,22800,MEXICO
HST-WSQ7NHP,Angela,Mccormick,Angela Mccormick,Chic Palermo Soho House,SHARED_ROOM,AIR-MCR346GC,"Av. Colombia 4300, C1425 GMN, Buenos Aires, Argentina",BUENOS AIRES,Buenos Aires,1425,ARGENTINA
HST-Y56N38N,Benjamin,Murray,Benjamin Murray,South Kensington Apartment,SHARED_ROOM,AIR-B0MS88XS,"14 Tottenham Street 1234, London, England W1T 1JY",LONDON,Greater London,W1T 1JY,ENGLAND
HST-1J902DZ,Caitlin,Taylor,Caitlin Taylor,Hillcrest Bali,PRIVATE_ROOM,AIR-JYCBUDKW,"8989 N Harbor Dr, San Diego, CA 92101, United States",SAN DIEGO,CA,92101,UNITED STATES OF AMERICA
HST-FWUJIHW,Daniel,Barnes,Daniel Barnes,The Nimbus,SHARED_ROOM,AIR-9E4GKHX9,125 N. LaSalle Street ,CHICAGO,IL,60602,UNITED STATES OF AMERICA
HST-1P8XX62,David,Robertson,David Robertson,The Art House,ENTIRE_PLACE,AIR-BZMYJ6KP,3275 NW 24th Street Rd,MIAMI,FL,33142,UNITED STATES OF AMERICA
HST-08PO2Z4,Donald,Carlson,Donald Carlson,The Five Points Pad,PRIVATE_ROOM,AIR-OZVSFUVX,3146 Mission Blvd. #3404 FLOOR 3,SAN DIEGO,CA,92109,UNITED STATES OF AMERICA
HST-OJIOUG7,Jamie,Rose,Jamie Rose,LAX Private Room,PRIVATE_ROOM,AIR-A7WZHIE7,"8145 Mannix Drive, Los Angeles, CA",LOS ANGELES,CA,90046,UNITED STATES OF AMERICA
HST-HAVK9UX,Joseph,Ritter,Joseph Ritter,Waikiki House,SHARED_ROOM,AIR-75APAANM,1991 Aloha Avenue Apartment 6,HAWAII,HI,96821,UNITED STATES OF AMERICA
HST-GEYTV21,Joshua,Webb,Joshua Webb,Weaver's Cottage Gateway,SHARED_ROOM,AIR-WLL9PBPO,"34 Willington Ave #867B, London England W1T IJY",LONDON,Greater London,W1T 1JY,ENGLAND
HST-NWIH8ON,Kelly,Wagner,Kelly Wagner,Kelly's Bunk Room,PRIVATE_ROOM,AIR-6B35HPOM,"105 Huntington Ave Ste 1706, Boston, MA 02115-3153, US",BOSTON,MA,02115,UNITED STATES OF AMERICA
HST-NJPU1M7,Kristen,Johns,Kristen Johns,Brooklyn Snooze Factory,SHARED_ROOM,AIR-XXFI9KTZ,"57 W 7th St, New York, NY 10003, USA ",NEW YORK,NY,10003,UNITED STATES OF AMERICA
HST-05N60HD,Mark,Collins,Mark Collins,Collins' Studio,PRIVATE_ROOM,AIR-8P9LUR1X,"40 E 7th St, New York, NY 10003, USA ",NEW YORK,NY,10003,UNITED STATES OF AMERICA
HST-WETLC8U,Michael,Becker,Michael Becker,Kreuzberg Apartment,ENTIRE_PLACE,AIR-XG51NYNL,Pariser Platz 2,BERLIN,Brandenburg,10117,GERMANY
HST-59ONWOT,Robert,Landry,Robert Landry,Shinjuku House,PRIVATE_ROOM,AIR-BW35LC9Z,"3 Chome-33-6 Umejima, Adachi City, Tokyo 121-0816, Japan",TOKYO,Kanto,121-0816,JAPAN
HST-D8HQ15M,Shannon,Mendoza,Shannon Mendoza,Quetzal Room,ENTIRE_PLACE,AIR-7O1WOD6J,"Av Paseo de las Palmas #1635, Colonia Lomas de Chapultepec",MEXICO CITY,Distrito Federal,11000,MEXICO
HST-7MKL0XU,Sharon,Vaughn,Sharon Vaughn,Cityden Up,PRIVATE_ROOM,AIR-3Q116AAP,"Museumplein 19, 1071 DJ Amsterdam",AMSTERDAM,North Holland,1071,NETHERLANDS
HST-7MKL0XU,Sharon,Vaughn,Sharon Vaughn,Kralingen Apartment,PRIVATE_ROOM,AIR-XX3A987P,"Wilhelminakade 909, 3072 AP Rotterdam",ROTTERDAM,South Holland,3072,NETHERLANDS
HST-I1CHTDQ,Sherry,King,Sherry King,Back Bay Studio,SHARED_ROOM,AIR-VET9D87Y,"One Boston Place, Suite 2683",BOSTON,MA,02108,UNITED STATES OF AMERICA
HST-KY9AELQ,Tammie,Parker,Tammie Parker,PB's Fun House,ENTIRE_PLACE,AIR-E7E82KIZ,"123 Friars Rd., San Diego, CA 92108",SAN DIEGO,CA,92108,UNITED STATES OF AMERICA
HST-47SH0OG,Tiffany,Perez,Tiffany Perez,San Diego's Hideaway,SHARED_ROOM,AIR-NO3INSF8,47 Las Flores Drive,CHULA VISTA,CA,91910,UNITED STATES OF AMERICA
HST-JNMDSKX,William,Tran,William Tran,Orczy Forum Apartment,ENTIRE_PLACE,AIR-OPYNSKLW,"Szabadság tér 12, H-1054",BUDAPEST,Pest,1007,HUNGARY
HST-WWRHBRK,Yolanda,Carlson,Yolanda Carlson,Departamento Santa Lucía,ENTIRE_PLACE,AIR-D65JXY94,"Andrés Bello 2800, Las Condes",SANTIAGO,Santiago,7591538,CHILE
